Participant,Result,Die P1,Die P2,Die P3,Roll P1,Roll P2,Roll P3,Payoff P1,Payoff P2,Payoff P3,Resp P1,Resp P2,Resp P3,Experiment,,Legend,
7,0,1,2,3,3,2,4,-1,-3,-5,0,4,1,1,,,
7,0,2,3,1,3,6,1,-3,-5,-1,2,1,5,1,,,
7,1,1,3,3,1,4,6,9,5,5,0,6,9,1,,,
7,1,1,2,3,2,3,6,9,7,5,1,6,8,1,,,
7,1,3,3,3,5,6,5,5,5,5,5,6,5,1,,,
7,0,2,1,3,3,2,5,-3,-1,-5,3,5,0,1,,,
7,0,2,2,3,5,1,4,-3,-3,-5,0,6,3,1,,,
7,1,3,3,1,4,4,5,5,5,9,4,4,8,1,,,
7,0,1,1,3,1,1,6,-1,-1,-5,7,7,0,1,,,
7,0,1,3,1,2,6,2,-1,-5,-1,5,0,5,1,,,
7,0,2,2,1,1,2,2,-3,-3,-1,7,3,2,1,,,
7,0,1,1,3,1,1,6,-1,-1,-5,5,5,0,1,,,
7,1,2,2,2,2,4,5,7,7,7,4,4,4,1,,,
7,0,2,2,2,2,3,5,-3,-3,-3,5,4,2,1,,,
7,0,1,3,3,1,5,3,-1,-5,-5,8,0,4,1,,,
7,0,1,1,2,3,3,4,-1,-1,-3,3,3,3,1,,,
7,0,2,1,1,4,3,2,-3,-1,-1,2,1,6,1,,,
7,1,2,3,2,6,5,5,7,5,7,3,6,3,1,,,
8,0,1,1,2,3,2,4,-1,-1,-3,5,7,4,1,,,
8,1,2,1,1,4,6,3,7,9,9,6,8,4,1,,,
8,1,2,3,3,3,6,6,7,5,5,0,9,9,1,,,
8,0,2,1,1,3,1,2,-3,-1,-1,5,8,8,1,,,
8,1,3,3,2,6,6,4,5,5,7,10,10,7,1,,,
8,0,1,2,3,1,1,3,-1,-3,-5,9,4,0,1,,,
8,1,3,1,3,5,5,5,5,9,5,10,6,10,1,,,
8,1,2,2,2,3,5,5,7,7,7,7,7,7,1,,,
8,1,1,3,3,2,5,4,9,5,5,1,9,9,1,,,
8,0,1,3,1,4,4,1,-1,-5,-1,7,2,9,1,,,
8,0,1,1,1,3,1,1,-1,-1,-1,7,7,7,1,,,
8,1,1,3,3,4,6,4,9,5,5,1,10,8,1,,,
8,1,1,3,1,5,4,2,9,5,9,7,5,2,1,,,
8,1,3,3,3,6,2,6,5,5,5,10,6,10,1,,,
8,1,3,2,3,5,3,5,5,7,5,10,5,10,1,,,
8,0,2,1,1,4,4,1,-3,-1,-1,5,7,7,1,,,
8,1,2,3,2,6,6,6,7,5,7,10,7,10,1,,,
8,0,3,1,1,6,1,1,-5,-1,-1,3,10,10,1,,,
8,0,3,2,3,6,1,3,-5,-3,-5,6,8,6,1,,,
8,0,2,1,1,2,1,2,-3,-1,-1,4,8,8,1,,,
9,0,3,2,1,6,2,2,-5,-3,-1,2,4,7,1,,,
9,0,3,1,1,5,1,2,-5,-1,-1,0,10,10,1,,,
9,1,3,3,3,2,6,4,5,5,5,5,10,4,1,,,
9,0,1,2,3,4,2,4,-1,-3,-5,4,10,2,1,,,
9,1,1,3,2,2,6,6,9,5,7,5,6,7,1,,,
9,1,2,2,1,6,5,3,7,7,9,8,10,1,1,,,
9,1,3,3,2,6,4,1,5,5,7,6,4,8,1,,,
9,0,2,1,2,1,1,5,-3,-1,-3,1,10,10,1,,,
9,1,1,3,3,2,6,3,9,5,5,5,8,3,1,,,
9,1,2,2,2,5,2,5,7,7,7,5,5,4,1,,,
9,1,3,2,1,6,2,3,5,7,9,6,5,3,1,,,
9,0,3,1,1,1,2,1,-5,-1,-1,7,10,0,1,,,
9,1,3,2,3,5,6,4,5,7,5,6,6,0,1,,,
9,1,2,1,1,4,4,3,7,9,9,6,5,5,1,,,
9,0,3,1,1,5,1,3,-5,-1,-1,3,4,8,1,,,
9,0,2,3,2,3,1,2,-3,-5,-3,4,7,8,1,,,
9,0,2,2,1,6,3,1,-3,-3,-1,0,0,7,1,,,
9,0,1,3,3,1,1,5,-1,-5,-5,4,0,8,1,,,
9,1,2,1,3,5,2,6,7,9,5,6,5,3,1,,,
9,1,2,1,1,6,4,2,7,9,9,8,8,0,1,,,
10,0,1,2,1,3,1,1,-1,-3,-1,6,2,6,1,,,
10,1,3,1,3,5,2,4,5,9,5,6,2,7,1,,,
10,1,3,2,2,6,6,1,5,7,7,3,7,3,1,,,
10,1,3,3,1,6,6,1,5,5,9,6,6,1,1,,,
10,0,1,1,2,1,1,3,-1,-1,-3,7,7,4,1,,,
10,1,2,2,2,5,5,2,7,7,7,5,5,2,1,,,
10,1,3,3,1,5,6,5,5,5,9,6,5,3,1,,,
10,1,2,3,1,4,6,1,7,5,9,5,7,5,1,,,
10,0,3,1,1,6,1,2,-5,-1,-1,3,7,6,1,,,
10,0,1,3,2,2,3,1,-1,-5,-3,7,5,5,1,,,
10,1,3,1,3,4,1,6,5,9,5,8,2,7,1,,,
10,1,3,3,3,5,2,5,5,5,5,8,7,8,1,,,
10,1,3,1,3,6,2,4,5,9,5,8,3,7,1,,,
10,1,2,1,3,5,1,5,7,9,5,5,1,7,1,,,
10,0,1,2,1,1,6,1,-1,-3,-1,8,3,7,1,,,
10,1,1,3,2,2,6,6,9,5,7,2,6,5,1,,,
10,0,1,1,1,3,1,1,-1,-1,-1,7,8,8,1,,,
10,1,3,1,3,6,2,4,5,9,5,6,3,5,1,,,
10,0,1,1,3,2,2,5,-1,-1,-5,8,8,4,1,,,
10,1,1,2,2,3,2,6,9,7,7,3,6,8,1,,,
11,1,3,1,3,6,2,6,5,9,5,3,8,3,1,,,
11,0,3,2,1,4,5,1,-5,-3,-1,0,0,0,1,,,
11,1,1,2,3,1,5,6,9,7,5,2,4,6,1,,,
11,0,2,2,2,2,1,5,-3,-3,-3,0,0,0,1,,,
11,0,3,1,1,6,2,2,-5,-1,-1,10,0,0,1,,,
11,1,2,3,2,4,6,6,7,5,7,7,4,7,1,,,
11,1,3,3,2,6,5,6,5,5,7,4,4,8,1,,,
11,1,3,1,3,4,1,6,5,9,5,3,9,6,1,,,
11,0,2,3,1,3,5,1,-3,-5,-1,4,1,9,1,,,
11,0,2,2,1,4,1,2,-3,-3,-1,2,8,4,1,,,
11,0,2,3,1,2,6,1,-3,-5,-1,6,2,9,1,,,
11,0,1,3,2,1,5,4,-1,-5,-3,10,0,5,1,,,
11,1,1,2,3,1,5,5,9,7,5,1,10,7,1,,,
11,1,3,3,1,5,4,2,5,5,9,6,5,10,1,,,
11,0,2,3,2,2,5,2,-3,-5,-3,7,9,6,1,,,
11,0,1,3,1,1,5,1,-1,-5,-1,2,9,0,1,,,
11,0,3,1,2,6,1,3,-5,-1,-3,9,6,8,1,,,
11,0,1,1,2,2,3,2,-1,-1,-3,3,5,7,1,,,
11,0,2,1,1,2,1,3,-3,-1,-1,7,4,0,1,,,
11,1,2,3,3,2,6,6,7,5,5,10,8,7,1,,,
12,0,3,1,3,3,1,3,-5,-1,-5,7,5,2,1,,,
12,1,3,2,1,6,6,2,5,7,9,6,8,5,1,,,
12,1,3,3,1,5,6,2,5,5,9,7,9,5,1,,,
12,0,2,3,2,2,6,1,-3,-5,-3,5,0,4,1,,,
12,1,2,1,2,6,1,6,7,9,7,0,3,0,1,,,
12,0,1,3,1,1,3,1,-1,-5,-1,0,7,0,1,,,
12,0,2,2,3,3,2,3,-3,-3,-5,4,4,9,1,,,
12,1,3,2,1,6,4,1,5,7,9,6,6,4,1,,,
12,0,2,1,1,4,2,1,-3,-1,-1,5,4,4,1,,,
12,1,2,3,2,6,4,4,7,5,7,7,4,6,1,,,
12,1,3,3,3,5,5,3,5,5,5,6,6,5,1,,,
12,1,2,1,2,6,1,6,7,9,7,6,2,7,1,,,
12,1,1,3,3,4,3,6,9,5,5,7,5,6,1,,,
12,0,1,1,3,1,4,5,-1,-1,-5,0,0,0,1,,,
12,0,1,2,1,1,5,1,-1,-3,-1,0,0,0,1,,,
12,0,3,1,2,3,1,4,-5,-1,-3,6,0,3,1,,,
12,1,3,1,3,6,1,4,5,9,5,0,0,0,1,,,
12,0,3,1,1,3,4,1,-5,-1,-1,5,0,0,1,,,
12,0,1,2,1,1,1,3,-1,-3,-1,0,3,0,1,,,
12,0,2,1,3,1,2,6,-3,-1,-5,0,0,0,1,,,
13,0,1,2,1,4,2,1,-1,-3,-1,7,4,7,1,,,
13,1,3,2,2,4,1,6,5,7,7,8,6,6,1,,,
13,0,1,2,2,2,3,4,-1,-3,-3,8,5,5,1,,,
13,0,2,1,1,6,1,1,-3,-1,-1,4,9,9,1,,,
13,0,1,2,3,2,1,6,-1,-3,-5,8,6,2,1,,,
13,1,3,2,2,5,1,5,5,7,7,8,5,5,1,,,
13,1,3,1,3,6,1,5,5,9,5,8,1,8,1,,,
13,1,3,2,2,5,5,3,5,7,7,8,5,5,1,,,
13,1,1,3,3,2,6,6,9,5,5,1,9,9,1,,,
13,0,2,2,1,6,1,1,-3,-3,-1,4,4,7,1,,,
13,1,2,2,3,4,2,6,7,7,5,6,6,8,1,,,
13,0,2,1,3,2,3,3,-3,-1,-5,6,8,3,1,,,
13,1,2,3,2,3,5,3,7,5,7,5,8,5,1,,,
13,0,3,1,2,4,2,1,-5,-1,-3,2,7,5,1,,,
13,0,1,2,1,1,6,1,-1,-3,-1,9,3,9,1,,,
13,1,3,3,2,6,6,3,5,5,7,9,9,3,1,,,
13,1,2,3,1,6,6,3,7,5,9,7,9,2,1,,,
13,1,3,3,3,5,6,3,5,5,5,8,8,8,1,,,
13,1,2,3,3,6,5,6,7,5,5,4,8,8,1,,,
13,1,2,3,2,5,6,2,7,5,7,5,8,5,1,,,
14,1,3,2,3,6,3,5,5,7,5,8,4,7,1,,,
14,1,1,3,3,4,6,6,9,5,5,7,10,10,1,,,
14,0,1,1,3,1,1,4,-1,-1,-5,10,10,0,1,,,
14,1,2,2,2,4,4,6,7,7,7,10,10,10,1,,,
14,1,3,1,3,6,4,6,5,9,5,10,3,10,1,,,
14,1,3,3,2,6,6,4,5,5,7,10,10,5,1,,,
14,0,1,1,3,1,1,3,-1,-1,-5,10,10,0,1,,,
14,0,1,2,2,1,5,4,-1,-3,-3,10,0,0,1,,,
14,1,2,3,3,5,5,5,7,5,5,5,10,10,1,,,
14,0,1,3,3,1,4,5,-1,-5,-5,10,0,0,1,,,
14,1,3,3,1,5,4,2,5,5,9,10,10,0,1,,,
14,0,1,3,1,1,6,3,-1,-5,-1,10,0,10,1,,,
14,0,1,1,1,1,1,1,-1,-1,-1,10,10,10,1,,,
14,1,3,2,3,6,2,6,5,7,5,10,5,10,1,,,
14,0,3,1,1,5,1,3,-5,-1,-1,0,10,10,1,,,
14,0,1,2,1,2,3,2,-1,-3,-1,10,0,10,1,,,
14,1,3,1,3,5,1,5,5,9,5,10,0,10,1,,,
14,0,2,2,1,2,3,1,-3,-3,-1,0,0,10,1,,,
14,1,3,2,3,5,2,6,5,7,5,10,5,10,1,,,
14,1,2,2,2,6,1,6,7,7,7,5,5,5,1,,,
15,1,1,2,3,1,5,6,9,7,5,2,6,7,1,,,
15,1,3,2,2,4,2,5,5,7,7,7,7,8,1,,,
15,0,1,1,3,3,3,4,-1,-1,-5,8,8,5,1,,,
15,1,3,3,2,5,6,4,5,5,7,4,6,7,1,,,
15,1,2,2,1,6,6,1,7,7,9,9,10,0,1,,,
15,0,1,1,3,2,1,3,-1,-1,-5,9,8,4,1,,,
15,1,2,3,2,6,5,2,7,5,7,7,6,2,1,,,
15,0,2,3,1,2,6,1,-3,-5,-1,6,2,8,1,,,
15,0,1,3,2,1,3,6,-1,-5,-3,9,5,3,1,,,
15,1,2,2,1,3,4,6,7,7,9,5,7,3,1,,,
15,0,1,3,2,1,5,3,-1,-5,-3,10,0,4,1,,,
15,0,1,1,2,3,4,2,-1,-1,-3,2,2,4,1,,,
15,1,2,2,3,5,4,6,7,7,5,7,5,7,1,,,
15,1,3,3,1,4,6,2,5,5,9,4,8,0,1,,,
15,1,3,3,1,6,5,1,5,5,9,10,10,0,1,,,
15,1,1,3,1,3,6,4,9,5,9,1,6,2,1,,,
15,0,3,2,1,5,1,1,-5,-3,-1,0,10,8,1,,,
15,1,3,3,3,6,4,6,5,5,5,10,8,10,1,,,
15,0,3,2,2,3,3,1,-5,-3,-3,3,7,10,1,,,
15,0,2,1,3,2,3,3,-3,-1,-5,5,5,2,1,,,
16,1,1,3,1,5,6,2,9,5,9,3,10,2,1,,,
16,1,2,1,2,5,1,5,7,9,7,7,2,7,1,,,
16,0,2,1,1,1,1,1,-3,-1,-1,4,9,9,1,,,
16,1,1,3,3,1,6,5,9,5,5,1,10,9,1,,,
16,0,3,1,2,5,2,1,-5,-1,-3,1,9,5,1,,,
16,0,1,2,2,1,6,2,-1,-3,-3,9,4,5,1,,,
16,1,1,3,3,2,6,6,9,5,5,1,10,10,1,,,
16,1,2,2,2,4,2,5,7,7,7,7,4,8,1,,,
16,0,1,1,1,1,4,3,-1,-1,-1,10,10,10,1,,,
16,1,3,3,3,6,3,6,5,5,5,10,9,10,1,,,
16,1,2,2,3,3,6,5,7,7,5,3,9,9,1,,,
16,1,3,2,2,5,3,6,5,7,7,9,3,9,1,,,
16,1,1,3,3,4,5,6,9,5,5,2,8,9,1,,,
16,1,2,3,3,3,5,6,7,5,5,4,9,10,1,,,
16,0,3,3,2,4,4,2,-5,-5,-3,0,0,9,1,,,
16,1,2,3,3,6,6,5,7,5,5,7,10,9,1,,,
16,0,3,1,2,4,1,2,-5,-1,-3,0,10,7,1,,,
16,1,1,3,3,1,5,6,9,5,5,0,9,10,1,,,
16,1,3,2,3,6,6,6,5,7,5,10,8,10,1,,,
16,0,3,2,1,4,3,1,-5,-3,-1,0,7,10,1,,,
17,1,2,3,1,5,5,1,7,5,9,8,5,7,1,,,
17,1,3,2,2,6,5,3,5,7,7,5,6,6,1,,,
17,0,2,1,2,2,1,1,-3,-1,-3,5,3,4,1,,,
17,0,2,1,2,1,1,6,-3,-1,-3,3,5,2,1,,,
17,1,2,2,1,6,6,1,7,7,9,6,6,9,1,,,
17,1,1,3,2,3,5,5,9,5,7,4,3,6,1,,,
17,0,1,3,1,1,3,1,-1,-5,-1,8,4,8,1,,,
